Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PER,PBR,ROE,OP_Margin
2023-03-13 00:00:00+09:00,56219.88205078125,56501.4507421875,55656.74466796875,56313.73828125,12779724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-14 00:00:00+09:00,55750.58890360169,55844.44511387712,55375.1640625,55375.1640625,12147346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-15 00:00:00+09:00,56313.73197115385,56595.30063100962,55938.307091346156,56126.01953125,10482149,0.0,0.0,5.797073038916168,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-16 00:00:00+09:00,55562.87760851419,56501.439730279635,55469.021396337645,56219.87109375,10611939,0.0,0.0,6.526475514785499,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-17 00:00:00+09:00,57064.57830342577,57533.859375,56876.86587479608,57533.859375,14090110,0.0,0.0,16.298221926542126,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-20 00:00:00+09:00,57346.14337624585,57439.9995847176,56501.4375,56501.4375,9618009,0.0,0.0,14.973688975869601,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-21 00:00:00+09:00,56783.01322165216,56970.72566205431,56407.58834084785,56595.30078125,8318514,0.0,0.0,15.644896965707263,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-22 00:00:00+09:00,57252.288320887885,57440.00074161211,56783.00726907733,57346.14453125,8978591,0.0,0.0,21.016207774388395,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-23 00:00:00+09:00,56876.86622191012,58472.421875,56876.86622191012,58472.421875,15381057,0.0,0.0,28.382801407756173,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-24 00:00:00+09:00,58847.84542410714,59410.982700892855,58472.420572916664,59129.4140625,18278602,0.0,0.0,32.34665449782362,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-27 00:00:00+09:00,58753.98414855073,58941.696557971016,58190.846920289856,58284.703125,11039331,0.0,0.0,30.044188157464923,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
2023-03-28 00:00:00+09:00,58566.27364864865,59035.5546875,58284.70502533784,59035.5546875,11614118,0.0,0.0,34.50681608368964,0.0,0.0,0.0,0.0,0.0,0.10783,0.21322
